key,description,values,example_answer
DATE,"Representa um momento específico no tempo, identificado por dia, mês e ano.","['em abril de 2023', 'em maio de 2023', 'de janeiro de 2023 até junho de 2023', 'de fevereiro de 2023 até junho de 2023']",[{'DATE': '01/01/2023-30/06/2023'}]
FREQUENCY,A frequência de tempo denota a regularidade de eventos em um período específico.,['mensal'],[{'FREQUENCY': 'mensal'}]
CATEGORY,"É a organização de itens com características comuns, diferenciando elementos dentro de um sistema.","['canal de distribuição', 'grupo de clientes', 'organização de vendas', 'Tipo de material', 'Clientes', 'Tipo de transporte']",[{'CATEGORY': 'Tipo de transporte'}]
SALESORDER,Documento que formaliza acordo entre vendedor e comprador para produtos/serviços.,"['itens de ordens de vendas', 'ordens', 'pedidos', 'OV']",[{'SALESORDER': 'OV'}]
SYSTEM,"Conjunto interconectado de componentes para automação comercial, melhorando eficiência e gestão",['automação'],[{'SYSTEM': 'automação'}]
STOCK,A quantidade acumulada de bens/materiais mantida pela empresa para atender futuras demandas.,['itens'],[{'STOCK': 'itens'}]
FINANCIALDOCUMENT,"Registro financeiro, como uma fatura, que detalha transações e auxilia na contabilidade e decisões financeiras.","['itens pagos', 'faturas']",[{'FINANCIALDOCUMENT': 'faturas'}]
PAYMENTSTATUS,"Indica o status de transações financeiras, como 'pago', 'pendente', 'atrasado', 'em aberto', ou 'em disputa'.","['a receber', 'em atraso']",[{'PAYMENTSTATUS': 'em atraso'}]
LOGISTICSEVENT,"Eventos de logística na gestão da cadeia de suprimentos, como recebimento de remessas e rastreamento, essenciais para eficiência e entregas.",['envios'],[{'LOGISTICSEVENT': 'envios'}]
TIMEUNIT,"Unidades de medida de tempo, como segundo, minuto, hora, dia, semana, mês e ano, para quantificar a duração de eventos ou intervalos em diferentes escalas.",['horas'],[{'TIMEUNIT': 'horas'}]
FINANCIALMETRIC,"Indicador financeiro, como o DSO (Dias de Vendas em Aberto), que mede o tempo médio para receber pagamentos após vendas, crucial na gestão financeira e análise de desempenho.",['DSO'],[{'FINANCIALMETRIC': 'DSO'}]
KPI,"Métricas usadas para avaliar o desempenho em relação a metas, essenciais para medir progresso e tomar decisões baseadas em dados, como o Order Cycle Time.","['receita', 'Order Cycle Time']",[{'KPI': 'Order Cycle Time'}]
PROCESSQUALITYMETRIC,"Métricas quantitativas avaliam eficiência e eficácia de processos, como taxa de retrabalho, para identificar melhorias.","['Order Cycle Time', 'retrabalho']",[{'PROCESSQUALITYMETRIC': 'retrabalho'}]
TYPESOFCASEOCCURRENCE,"Categorias que organizam eventos com base na frequência, como 'mais frequentes', 'frequentes', 'raros', para compreensão e organização.",['casos'],[{'TYPESOFCASEOCCURRENCE': 'casos'}]
MARKETINGCHANNEL,"Método de entrega de produtos/serviços aos consumidores, como varejo, distribuição, e-commerce; exemplo: vender eletrônicos em lojas de eletrônicos.",['Canal de distribuição'],[{'MARKETINGCHANNEL': 'Canal de distribuição'}]
IMPACT,"Consequências de uma ação ou evento que podem abranger aspectos financeiros, operacionais e sociais","['impacto financeiro', 'impacto']",[{'IMPACT': 'impacto financeiro'}]
MARKETINGACTIVITY,"Atividades de marketing, como a taxa de conversão, que avaliam a eficácia em transformar prospects em clientes.",['conversão'],[{'MARKETINGACTIVITY': 'conversão'}]
OBJECT,"Um conceito amplo que se refere a algo identificável e manipulável, podendo ser tangível ou intangível em diversos contextos.","['a receber', 'faturas', 'OV', 'status', 'envios', 'itens', 'impacto', 'horas', 'em atraso']",[{'OBJECT': 'em atraso'}]
SHIPPINGSTATUS,"Estado de entrega de mercadorias em relação à data planejada, descrevendo a fase do processo de entrega.","['no dia solicitado de entrega', 'atrasado ao dia solicitado de entrega', 'antecipado ao dia solicitado de entrega']",[{'SHIPPINGSTATUS': 'antecipado ao dia solicitado de entrega'}]
RECEIPTSTATUS,"Estado de recebimento de pagamento em relação à data planejada, descrevendo a fase do processo financeiro.","['recebimento atrasado', 'recebimento no prazo', 'recebimento antecipado']",[{'RECEIPTSTATUS': 'recebimento antecipado'}]
CANAL,"Meio ou rota para disponibilizar produtos/serviços aos clientes, como Hospital e Farmácia, essenciais na distribuição de uma empresa.","['Ferro', 'Matéria Prima Geral']",[{'CANAL': 'Matéria Prima Geral'}]
ACTIVITY,Ação ou tarefa realizada para alcançar um objetivo.,"['Alterar Data de Cobrança do Item de Entrega', 'Alterar Preço do Item OV']",[{'ACTIVITY': 'Alterar Preço do Item OV'}]
CUSTOMER,Pessoa ou entidade que adquire produtos ou serviços em troca de pagamento.,"['Raia Drogasil', 'Americanas']",[{'CUSTOMER': 'Raia Drogasil'}]
COMMODITY,"Produto não processado, intercambiável e globalmente negociado, com preços influenciados pela oferta e demanda.","['Ferro', 'Matéria Prima Geral']",[{'COMMODITY': 'Ferro'}]
ANALYSISSTATUS,"Avaliação do estado atual de algo, como pedidos, por meio da coleta e interpretação de informações relevantes, permitindo tomar decisões informadas.","['Cancelados', 'Devolvidos', 'Rejeitados']",[{'ANALYSISSTATUS': 'Devolvidos'}]
CUSTOMERGROUP,"Segmentação de clientes em grupos com características semelhantes, permitindo estratégias personalizadas.","['Distr. Industrial', 'Dist. Varejo', 'Órgão Público']",[{'SALESORGANIZATION': 'Órgão Público'}]
SALESORGANIZATION,É uma estrutura dentro de uma empresa que se concentra na gestão e execução das atividades de vendas.,"['Indústria', 'Indústria do Aço', 'Exportação']",[{'SALESORGANIZATION': 'Indústria'}]
CONTEXT,É o contexto da conversa,"['Visão Geral', 'Análise do Ciclo da Ordem de Venda', 'Análise de Recebimento de pagamentos', 'Ordem de Venda Perfeita (Perfect SO)', 'Envios no prazo (""on-time shipment"")', 'Operação contas a receber', 'Análise de automação', 'Impacto na Receita']",[{'CONTEXT': 'Visão Geral'}]
